===12/19 00:29:51
개좋은데?ㅋㅋㅋㅋㅋㅋㅋ     킹놀드 00:31 
이게힙합이다시발ㅋㅋㅋ     ㅇㅇ(223.62) 00:31 
치트키 조져버리네ㅋㅋㅋㅋ     ㅇㅇ(222.237) 00:31 
2라운드 할라고 1라운드 버렸네 ㄹㅇㅋㅋ     ㅇㅇ(39.7) 00:31 
응 아잇ㅋㅋㅋㅋ     Buonaparte 00:31 
마이콜 같네     ㅇㅇ(118.139) 00:31 
잼민이들 쏴리질러 ㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(61.83) 00:31 
ㄷㅌㄷㅈ ㅠ     ㅇㅇ(223.38) 00:31 
아잇 아잇     탈모는이해.. 00:31 
존나 좋네 ㅋㅋㅋㅋㅋ     ㅇㅇ(112.155) 00:31 
아잇 ㅌㅋㅋㅋㅋㅋㅋㅋ     저포키 00:31 
아임뚜렛 입갤 ㅋㅋ     ㅇㅇ(211.243) 00:31 
===12/19 00:31:09
좋은데?     소녀와사겼.. 00:31 
비트 좃되네 ㅋㅋㅋㅋㅋ     ㅇㅇ(211.176) 00:31 
머쉬베놈 우승     시간여행자(180.69) 00:31 
와 결승비트미쳤노 머쉬 ㄷㄷ     ㅇㅇ(222.103) 00:31 
비트 하온 noah생각나노     쭐어콘 00:31 
개좋은데? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(110.70) 00:31 
우승!머쉬배놈      ㅇㅇ(221.167) 00:31 
응 아잇 푸르르 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(175.210) 00:31 
