쿤타보단 훨씬 랩 많이 하는구만 억까 쿤타견들ㅋㅋㅋㅋ     ㅇㅇ(175.223) 
===11/20 00:50:22===
이게 싱잉이라는병신들은 막귀임?     ㅇㅇ(14.33) 
시즌 27262829번째 슈스케 개같이 부활ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(119.69) 
비오 싫은데 이건 음원1위각인듯     ㅇㅇ(117.111) 
오 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(117.55) 
히트곡 하나 뽑아서 기분 좋은 비오면 개추 ㅋㅋㅋㅋㅋㅋ     ㅇㅇ(125.138) 
진짜 이게 젤 좋은데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(39.115) 
일단 비트가 존나 트랜디하다     ㅇㅇ(175.223) 
진짜 쇼미 보는 느낌이 안나노 ㅋㅋㅋ     ㅇㅇ(123.214) 
쇼미 싱잉판 안될려면 방청부터 성비좀 맞춰라     ㅇㅇ(39.7) 
시발 싱잉 너무 판친다     ㅇㅇ(223.38) 
훌륭하다     ㅇㅇ(218.38) 
카운팅 스타 듣고서 떠오른 비트가 이거?     ㅇㅇ(112.150) 
좋네 ㅋㅋ     AlissonBec.. 
비오 신호등 듣고 감동받았나?     ㅇㅇ(223.62) 
비트가 만들다 만거같네     ㅇㅇ(182.228) 
싱오브차이나 ㅋㅋ     ㅇㅇ(59.151) 
이건 걍 아이돌무대네     ㅇㅇ(211.185) 
듣기싫다     흑흑(14.4) 
걍 노래만 2시간 들으니 존나 피로하네     ㅇㅇ(125.180) 
리아 입갤ㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(112.150) 
이게 젤 좋은데?     ㅇㅇ(58.126) 
슈스케 왜 폐지했냐?     ㅇㅇ(112.155) 
마이노입갤ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(1.255) 
슈퍼스타K 개같이 부활ㅋㅋㅋㅋ     ㅇㅇ(222.112) 
씹 래퍼가 랩했다고 랩했다 랩했다 ㅇㅈㄹ     ㅇㅇ(223.33) 
그레이 부활ㅋㅋㅋㅋㅋㅋ     A$APLUKE 
ㅅㅂ 둘다 아예 노래를 처부르노     ㅇㅇ(112.151) 
베이식 쿤타보다 구림     ㅇㅇ(14.33) 
===11/20 00:50:28===
